QTY,MPN,Value,Manufacturer,Ref. Des.,Package
2,BH9VPC,9 V,MPD,"BT1, BT2",BN9VPC
2,EEV-FK2A221M,220 µF,Panasonic,"C1, C2",K16
2,CGA9N3X7S2A106M230KE,10 µF,TDK,"C3, C4",C2220
4,CGA3E3X7S2A104K080AE,100 nF,TDK,"C5, C6, C11, C12",C0603
4,GRM32EC72A106ME05L,10 µF,Murata,"C7, C8, C13, C14",C1210
2,C1608X7R1H224K080AE,220 nF,TDK,"C9, C10",C0603
2,base 5 mm THT LED,base 5 mm THT LED,"","D1, D2","THT LED, 5 mm diameter, 5.9 mm collar diameter"
1,5227161-7,5227161-7,TE Connectivity,J1,BNC-AMP-5227161
1,BM04B-PASS-1-TFT,BM04B-PASS-1-TFT,JST,J2,BM04B-PASS-1-TB
1,SM03B-NSHSS-TB,SM03B-NSHSS-TB,JST,J3,SM03B-NSHSS-TB
1,0731000114,0731000114,Molex,J4,sma-thru-right
1,RMCF0603ZT0R00,0 Ω,Stackpole,R1,RMCF0603
1,RMCF1206ZT0R00,0 Ω,Stackpole,R2,R1206
2,RMCF2512JT200R,200 Ω,Stackpole,"R3, R4",2512
1,RMCF0603FT10K0,10 kΩ,Stackpole,R5,RMCF0603
1,3386P-1-103TLF,10 kΩ,Bourns,R6,3386P
1,RMCF0603FT4K99,4.99 kΩ,Stackpole,R7,RMCF0603
2,RMCF0603FT100K,100 kΩ,Stackpole,"R8, R9",RMCF0603
1,RMCF0603FT1K00,1 kΩ,Stackpole,R10,RMCF0603
1,RMCF0603FT49R9,49.9 Ω,Stackpole,R11,RMCF0603
2,OPA2140AIDGKR,OPA2140AIDGKR,Texas Instruments,"U1, U2",msop-8_DGK (Copy)
